id	logFC	AveExpr	t	P.Value	adj.P.Val	B
EIF5A2	0.92679407912716	6.26808613285024	20.1557829430522	1.64359097280598e-63	3.81571384272428e-61	133.915994736803
DEPDC7	-1.10612383163692	5.8156263115942	-20.1452737933218	1.82986526752484e-63	4.18832964261213e-61	133.809182848291
CD44	1.16196651491914	9.68032480434783	20.1170822234374	2.44058669015051e-63	5.50860754189387e-61	133.522654008722
TMEM63C	-1.393570273773	5.69480993719807	-20.1029372776779	2.82000174483596e-63	6.27778744593551e-61	133.37889113334
DUOXA2	3.13854859195482	8.84089779710145	20.0949874922799	3.05857432619556e-63	6.71687721283839e-61	133.298093474009
CDC14A	-1.05067550522866	6.92073649758454	-20.0833914996426	3.44322231459107e-63	7.46077411125592e-61	133.180238114562
FGFR2	-1.13330859369771	6.5576862826087	-20.0631541114725	4.23397437035983e-63	9.05346282798916e-61	132.974557941136
LIPC	-1.05346863768823	4.92929902898551	-20.0600551761819	4.37015221700732e-63	9.16207744114049e-61	132.943062491986
CALU	1.09887087904351	9.05689378985507	20.0594439000821	4.39752655472869e-63	9.16207744114049e-61	132.936849907994
ENPP1	-1.23914627900167	7.27374651932367	-19.9909308644451	8.85437482304017e-63	1.82142335758514e-60	132.240545830834
SLC25A20	-1.03674123807863	8.49600316425121	-19.9817526580094	9.72466808412157e-63	1.97544476293825e-60	132.147269347333
ARNTL2	1.4480815174289	7.29136554589372	19.9314027868282	1.62642694005336e-62	3.26309434602557e-60	131.635584483014
B4GALNT2	-2.07535308456497	6.59852243961353	-19.9001910967195	2.23712145037042e-62	4.43359276706948e-60	131.318404169312
OSBPL1A	-0.80639566675962	7.14766601690821	-19.8821231016619	2.69052661194614e-62	5.26792144225743e-60	131.134797371635
CCNJL	-1.1461375376464	7.6660240821256	-19.852792583441	3.63028963561316e-62	7.02331391289875e-60	130.83674809622
CNTN4	-1.01393711279977	5.38565268357488	-19.7925251625669	6.71833440366337e-62	1.28446649875216e-59	130.224356326496
GNA15	1.27646772476297	7.58238207004831	19.7865356240376	7.14212734166806e-62	1.34961292359823e-59	130.163497590289
MTHFD2	0.897073959146686	9.06670686714976	19.782132269487	7.47064469533766e-62	1.39546490740152e-59	130.11875610591
ZCCHC14	-0.720462764640263	7.63439576086957	-19.7455963548071	1.08493569455267e-61	2.0035556786563e-59	129.747532839489
LRP8	1.41317964040714	7.52806119806763	19.7424263211749	1.12063329031284e-61	2.04622602257012e-59	129.715324557854
ME3	-0.789922824595652	7.67408852173913	-19.6864349477507	1.98509999726991e-61	3.58442889507036e-59	129.146463041468
RBKS	-1.06727520356944	6.6965246352657	-19.6588947440881	2.62974847668303e-61	4.69626840599736e-59	128.866677406848
S100A11	0.961762615379261	10.6759486980676	19.630727415404	3.50607844469292e-61	6.19318269616355e-59	128.580533436431
KYNU	2.40472383526213	7.06271681884058	19.6258601482265	3.684722939901e-61	6.43875618240119e-59	128.531089587292
UBE2L6	0.853016776003903	9.12929600724638	19.6216611614141	3.84613489234227e-61	6.64931256760151e-59	128.488434751113
CPT1A	-1.03200214689069	9.1789440942029	-19.5992252955348	4.83626616616966e-61	8.27306962804454e-59	128.260528262747
PDZK1IP1	1.72351928959844	10.7673423405797	19.5725827908818	6.34810364627806e-61	1.07461492037151e-58	127.989901884976
LPCAT3	-0.854058016662018	9.54534221497584	-19.561967957889	7.07471553291822e-61	1.18527012500468e-58	127.882083320321
PGM2L1	0.836141572155602	7.67598343961353	19.5081216307161	1.22586623937024e-60	2.03281145469446e-58	127.335180852596
HINFP	-0.540352813998878	7.49924969806763	-19.5011327044006	1.31652009423033e-60	2.16108768195325e-58	127.264200474362
SERF1B	-0.815075811558836	7.1464291884058	-19.4862103303216	1.53314154482561e-60	2.49150832449609e-58	127.112650420914
METTL7B	-1.60236467449803	8.52561454589372	-19.438506508033	2.4948932423763e-60	4.01430792889676e-58	126.628207268448
ALDH18A1	-0.821404550752938	9.18626388164251	-19.3814272802526	4.46738816532184e-60	7.11760049751423e-58	126.048621807007
LPIN1	0.826830893753493	8.42088299033816	19.3728197583387	4.87756846333914e-60	7.69566651434216e-58	125.961227221233
FAIM2	0.925164929378139	6.84879732125604	19.3700186948502	5.01900807808149e-60	7.84268271893291e-58	125.932787623206
ARMCX3	0.596605638036813	8.16462991304348	19.3312343152705	7.45597742280396e-60	1.15397227712369e-57	125.539024124502
WDR78	-1.38121687771891	6.10659045652174	-19.3259627813834	7.8680298151326e-60	1.20625804269547e-57	125.485507095784
PHYH	-1.0698900134551	8.31154243719807	-19.3235194574403	8.06666026043241e-60	1.22515229805876e-57	125.460702518357
FRMD1	-1.21050589563581	6.50139439855072	-19.3128639729257	8.99318559916731e-60	1.35322462196359e-57	125.352530037728
PHLDA1	1.64970393607082	8.5293960821256	19.3076841050976	9.48129564890172e-60	1.41358289532387e-57	125.299946051245
ACADS	-1.2077658100251	8.43702927777778	-19.2946925472158	1.08252346077264e-59	1.59928079645602e-57	125.168063935654
BHLHE40	1.11654828799498	8.84788588647343	19.248481039018	1.73459907906826e-59	2.53448906915823e-57	124.698990389243
SEMA5A	-1.16303686823759	7.9914073115942	-19.2477973439949	1.7467403590285e-59	2.53448906915823e-57	124.692050927173
CXCL2	1.95981778555493	7.79691093236715	19.2375907912996	1.93842855811276e-59	2.78773473432658e-57	124.588456599521
ZSWIM3	-0.664522763524825	5.96858022463768	-19.1872758150136	3.23860604462064e-59	4.61671814308158e-57	124.077813685655
CHI3L1	3.46805295991355	8.74672220289855	19.1515686824461	4.66155166345199e-59	6.5873805289355e-57	123.715469827779
XBP1	0.978451914947012	10.761050615942	19.1360209288751	5.46257474097737e-59	7.65278466513993e-57	123.557708610484
C7orf31	-1.10660059934467	7.11063456763285	-19.0656575025541	1.11949615882804e-58	1.55495145958244e-56	122.843834682946
UGT2A3	-2.89574651366424	5.82492162077295	-19.0537036870132	1.26461032935643e-58	1.74162563240435e-56	122.722572953472
SLC17A4	-2.09513413259898	7.36236295652174	-19.025596643275	1.68427397040339e-58	2.30009548680887e-56	122.437468804878
