"workflow","selector","classifier","heldout_cohort","auc","n_selector_genes","n_model_genes","error"
"enet_050 + rf","enet_050","rf","GSE87466",0.982484948002189,16,16,""
"enet_075 + rf","enet_075","rf","GSE87466",0.974274767378216,6,6,""
"univ_top5 + rf","univ_top5","rf","GSE87466",0.961959496442255,5,5,""
"univ_top10 + rf","univ_top10","rf","GSE87466",0.97591680350301,10,10,""
"rf_top5 + rf","rf_top5","rf","GSE87466",0.945812807881773,5,5,""
"rf_top10 + rf","rf_top10","rf","GSE87466",0.981390257252326,10,10,""
"all + gbm","all","gbm","GSE87466",0.954022988505747,24,24,""
"lasso + gbm","lasso","gbm","GSE87466",0.960591133004926,12,12,""
"enet_025 + gbm","enet_025","gbm","GSE87466",0.945812807881773,19,19,""
"enet_050 + gbm","enet_050","gbm","GSE87466",0.93431855500821,16,16,""
"enet_075 + gbm","enet_075","gbm","GSE87466",0.938697318007663,6,6,""
"univ_top5 + gbm","univ_top5","gbm","GSE87466",0.943076081007115,5,5,""
"univ_top10 + gbm","univ_top10","gbm","GSE87466",0.868089764641489,10,10,""
"rf_top5 + gbm","rf_top5","gbm","GSE87466",0.926108374384236,5,5,""
"rf_top10 + gbm","rf_top10","gbm","GSE87466",0.93951833607006,10,10,""
"all + lda","all","lda","GSE87466",0.992884510125889,24,24,""
"lasso + lda","lasso","lda","GSE87466",0.993431855500821,12,12,""
"enet_025 + lda","enet_025","lda","GSE87466",0.991789819376026,19,19,""
"enet_050 + lda","enet_050","lda","GSE87466",0.991789819376026,16,16,""
"enet_075 + lda","enet_075","lda","GSE87466",0.9896004378763,6,6,""
"univ_top5 + lda","univ_top5","lda","GSE87466",0.922824302134647,5,5,""
"univ_top10 + lda","univ_top10","lda","GSE87466",0.97591680350301,10,10,""
"rf_top5 + lda","rf_top5","lda","GSE87466",0.987411056376574,5,5,""
"rf_top10 + lda","rf_top10","lda","GSE87466",0.987958401751505,10,10,""
"all + naive_bayes","all","naive_bayes","GSE87466",0.986863711001642,24,24,""
"lasso + naive_bayes","lasso","naive_bayes","GSE87466",0.987958401751505,12,12,""
"enet_025 + naive_bayes","enet_025","naive_bayes","GSE87466",0.984126984126984,19,19,""
"enet_050 + naive_bayes","enet_050","naive_bayes","GSE87466",0.98631636562671,16,16,""
