ID	T_cells	CD8_T_cells	Cytotoxic_lymphocytes	B_lineage	NK_cells	Monocytic_lineage	Myeloid_dendritic_cells	Neutrophils	Endothelial_cells	Fibroblasts
127	GSM2869395_treat	6.94417457142857	5.848227	6.20124357142857	7.66917555555556	5.979415	8.34686128571429	5.5028126	7.56893	6.36984965625	8.470705375
128	GSM2869396_treat	7.41717942857143	5.837032	5.92717742857143	9.23814611111111	5.46105728571429	7.98891114285714	5.8109662	6.97163292307692	6.6679875625	9.240305375
129	GSM2869397_treat	7.04877307142857	5.331599	5.88811457142857	6.35154244444444	5.21552028571429	8.34543314285714	6.2386452	8.38962915384615	7.7352674375	9.512629375
130	GSM2869398_treat	6.70117671428571	5.746108	5.93982557142857	7.617812	6.07881257142857	7.93122071428571	5.3168196	7.46258223076923	6.35706903125	7.342226125
131	GSM2869399_treat	7.26334828571429	5.751333	5.70807628571429	8.89329777777778	5.59175528571429	7.61213242857143	5.6093426	6.70445876923077	6.60485540625	8.827665875
132	GSM2869400_treat	7.56647271428571	6.091374	5.85902085714286	9.23869433333333	5.61118842857143	7.73149171428571	5.9006324	6.66831284615385	6.45803846875	8.540673875
133	GSM2869401_treat	7.14784614285714	5.726274	5.79237857142857	8.46216488888889	5.33154585714286	8.32730714285714	6.0058486	8.07230846153846	7.1728549375	9.482955
134	GSM2869402_treat	6.89440785714286	5.856304	6.17525928571429	7.33083311111111	5.77012814285714	7.42038814285714	5.8667436	6.67344461538462	6.35503253125	8.02434425
135	GSM2869403_treat	7.67293042857143	6.319796	5.77322871428571	8.36700233333333	5.568251	7.79397171428571	6.2554972	6.77951738461539	6.77428284375	8.823809875
136	GSM2869404_treat	7.16460192857143	5.959433	6.189619	7.96908411111111	5.67743228571429	7.21184942857143	5.7177628	6.54907815384615	6.4016220625	8.461810125
137	GSM2869405_treat	6.37190692857143	5.282024	5.35413771428571	6.00874855555556	5.44469457142857	6.61785971428571	5.3978612	6.93874446153846	7.29740984375	8.37701075
138	GSM2869406_treat	6.72749935714286	5.382704	5.58542314285714	6.72875411111111	5.33839828571429	8.38717028571429	5.8373062	7.95333738461538	7.1810288125	8.41693975
